Ad_ID,Ad_Copy,Account_Age_Days,Historical_Flags,FailedAdGroupFraudRule
AD-202600001,Get rich quick! Earn $5000/day from home with zero risk. Register now!,72,1,101
AD-202600002,Click here to see a shocking viral video! WARNING: explicit details inside.,377,0,103
AD-202600003,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,176,1,102
AD-202600004,Get rich quick! Earn $5000/day from home with zero risk. Register now!,265,3,101
AD-202600005,Earn standard rewards points back on everyday grocery purchases with our card.,89,1,0
AD-202600006,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,324,3,102
AD-202600007,Affordable life insurance policies for families. Get a free quote today.,442,1,0
AD-202600008,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,712,3,102
AD-202600009,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,304,0,102
AD-202600010,Earn standard rewards points back on everyday grocery purchases with our card.,112,1,0
AD-202600011,Earn standard rewards points back on everyday grocery purchases with our card.,121,0,0
AD-202600012,Affordable life insurance policies for families. Get a free quote today.,446,0,0
AD-202600013,Earn standard rewards points back on everyday grocery purchases with our card.,75,0,0
AD-202600014,Click here to see a shocking viral video! WARNING: explicit details inside.,98,2,103
AD-202600015,Get rich quick! Earn $5000/day from home with zero risk. Register now!,458,1,101
AD-202600016,Affordable life insurance policies for families. Get a free quote today.,202,1,0
AD-202600017,Affordable life insurance policies for families. Get a free quote today.,445,1,0
AD-202600018,Earn standard rewards points back on everyday grocery purchases with our card.,300,1,0
AD-202600019,Get rich quick! Earn $5000/day from home with zero risk. Register now!,73,1,101
AD-202600020,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,443,1,102
AD-202600021,Earn standard rewards points back on everyday grocery purchases with our card.,656,1,0
AD-202600022,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,249,2,102
AD-202600023,Get rich quick! Earn $5000/day from home with zero risk. Register now!,179,0,101
AD-202600024,Get rich quick! Earn $5000/day from home with zero risk. Register now!,653,3,101
AD-202600025,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,499,2,102
AD-202600026,"Standard household kitchen blender. 3 speeds, stainless steel blades.",681,0,0
AD-202600027,Earn standard rewards points back on everyday grocery purchases with our card.,286,0,0
AD-202600028,"Standard household kitchen blender. 3 speeds, stainless steel blades.",577,1,0
AD-202600029,"Standard household kitchen blender. 3 speeds, stainless steel blades.",164,0,0
AD-202600030,"Standard household kitchen blender. 3 speeds, stainless steel blades.",197,1,0
AD-202600031,"Standard household kitchen blender. 3 speeds, stainless steel blades.",366,0,0
AD-202600032,"Standard household kitchen blender. 3 speeds, stainless steel blades.",639,1,0
AD-202600033,Affordable life insurance policies for families. Get a free quote today.,592,1,0
AD-202600034,"Standard household kitchen blender. 3 speeds, stainless steel blades.",63,1,0
AD-202600035,"Standard household kitchen blender. 3 speeds, stainless steel blades.",207,0,0
AD-202600036,Earn standard rewards points back on everyday grocery purchases with our card.,535,0,0
AD-202600037,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,355,4,102
AD-202600038,Click here to see a shocking viral video! WARNING: explicit details inside.,503,5,103
AD-202600039,"Standard household kitchen blender. 3 speeds, stainless steel blades.",442,0,0
AD-202600040,Affordable life insurance policies for families. Get a free quote today.,498,1,0
AD-202600041,Earn standard rewards points back on everyday grocery purchases with our card.,650,1,0
AD-202600042,"Standard household kitchen blender. 3 speeds, stainless steel blades.",85,0,0
AD-202600043,Earn standard rewards points back on everyday grocery purchases with our card.,39,1,0
AD-202600044,"Standard household kitchen blender. 3 speeds, stainless steel blades.",712,1,0
AD-202600045,"Standard household kitchen blender. 3 speeds, stainless steel blades.",730,0,0
AD-202600046,"Standard household kitchen blender. 3 speeds, stainless steel blades.",654,0,0
AD-202600047,"Standard household kitchen blender. 3 speeds, stainless steel blades.",438,0,0
AD-202600048,"Standard household kitchen blender. 3 speeds, stainless steel blades.",558,0,0
AD-202600049,"Standard household kitchen blender. 3 speeds, stainless steel blades.",624,1,0
AD-202600050,"Standard household kitchen blender. 3 speeds, stainless steel blades.",694,0,0
AD-202600051,Earn standard rewards points back on everyday grocery purchases with our card.,69,0,0
AD-202600052,"Standard household kitchen blender. 3 speeds, stainless steel blades.",111,1,0
AD-202600053,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,664,5,102
AD-202600054,Click here to see a shocking viral video! WARNING: explicit details inside.,194,3,103
AD-202600055,Earn standard rewards points back on everyday grocery purchases with our card.,36,1,0
AD-202600056,Affordable life insurance policies for families. Get a free quote today.,671,0,0
AD-202600057,Earn standard rewards points back on everyday grocery purchases with our card.,305,0,0
AD-202600058,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,390,0,102
AD-202600059,Click here to see a shocking viral video! WARNING: explicit details inside.,74,4,103
AD-202600060,"Standard household kitchen blender. 3 speeds, stainless steel blades.",612,0,0
AD-202600061,Affordable life insurance policies for families. Get a free quote today.,302,0,0
AD-202600062,Get rich quick! Earn $5000/day from home with zero risk. Register now!,622,3,101
AD-202600063,Earn standard rewards points back on everyday grocery purchases with our card.,164,1,0
AD-202600064,"Standard household kitchen blender. 3 speeds, stainless steel blades.",82,0,0
AD-202600065,Affordable life insurance policies for families. Get a free quote today.,491,0,0
AD-202600066,Earn standard rewards points back on everyday grocery purchases with our card.,401,0,0
AD-202600067,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,373,3,102
AD-202600068,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,355,3,102
AD-202600069,Get rich quick! Earn $5000/day from home with zero risk. Register now!,357,5,101
AD-202600070,Earn standard rewards points back on everyday grocery purchases with our card.,109,0,0
AD-202600071,Affordable life insurance policies for families. Get a free quote today.,29,1,0
AD-202600072,"Standard household kitchen blender. 3 speeds, stainless steel blades.",165,0,0
AD-202600073,Earn standard rewards points back on everyday grocery purchases with our card.,128,1,0
AD-202600074,"Standard household kitchen blender. 3 speeds, stainless steel blades.",283,1,0
AD-202600075,Affordable life insurance policies for families. Get a free quote today.,534,1,0
AD-202600076,"Standard household kitchen blender. 3 speeds, stainless steel blades.",259,0,0
AD-202600077,Earn standard rewards points back on everyday grocery purchases with our card.,334,0,0
AD-202600078,"Standard household kitchen blender. 3 speeds, stainless steel blades.",623,0,0
AD-202600079,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,168,3,102
AD-202600080,"Standard household kitchen blender. 3 speeds, stainless steel blades.",644,1,0
AD-202600081,Click here to see a shocking viral video! WARNING: explicit details inside.,497,5,103
AD-202600082,Affordable life insurance policies for families. Get a free quote today.,569,0,0
AD-202600083,Click here to see a shocking viral video! WARNING: explicit details inside.,263,1,103
AD-202600084,Earn standard rewards points back on everyday grocery purchases with our card.,462,0,0
AD-202600085,Earn standard rewards points back on everyday grocery purchases with our card.,486,1,0
AD-202600086,Click here to see a shocking viral video! WARNING: explicit details inside.,343,0,103
AD-202600087,"Standard household kitchen blender. 3 speeds, stainless steel blades.",90,0,0
AD-202600088,Affordable life insurance policies for families. Get a free quote today.,591,0,0
AD-202600089,Affordable life insurance policies for families. Get a free quote today.,452,1,0
AD-202600090,Affordable life insurance policies for families. Get a free quote today.,561,1,0
AD-202600091,"Standard household kitchen blender. 3 speeds, stainless steel blades.",682,1,0
AD-202600092,Affordable life insurance policies for families. Get a free quote today.,264,1,0
AD-202600093,"Standard household kitchen blender. 3 speeds, stainless steel blades.",699,1,0
AD-202600094,Get rich quick! Earn $5000/day from home with zero risk. Register now!,532,0,101
AD-202600095,Affordable life insurance policies for families. Get a free quote today.,181,1,0
AD-202600096,"Standard household kitchen blender. 3 speeds, stainless steel blades.",588,0,0
AD-202600097,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,476,2,102
AD-202600098,"Standard household kitchen blender. 3 speeds, stainless steel blades.",406,1,0
AD-202600099,"Standard household kitchen blender. 3 speeds, stainless steel blades.",535,0,0
AD-202600100,Earn standard rewards points back on everyday grocery purchases with our card.,345,1,0
AD-202600101,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,142,3,102
AD-202600102,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,556,3,102
AD-202600103,Affordable life insurance policies for families. Get a free quote today.,84,1,0
AD-202600104,Affordable life insurance policies for families. Get a free quote today.,34,0,0
AD-202600105,"Standard household kitchen blender. 3 speeds, stainless steel blades.",119,1,0
AD-202600106,Affordable life insurance policies for families. Get a free quote today.,118,1,0
AD-202600107,Earn standard rewards points back on everyday grocery purchases with our card.,49,1,0
AD-202600108,Get rich quick! Earn $5000/day from home with zero risk. Register now!,590,5,101
AD-202600109,Click here to see a shocking viral video! WARNING: explicit details inside.,480,4,103
AD-202600110,Get rich quick! Earn $5000/day from home with zero risk. Register now!,155,5,101
AD-202600111,Earn standard rewards points back on everyday grocery purchases with our card.,672,0,0
AD-202600112,"Standard household kitchen blender. 3 speeds, stainless steel blades.",725,0,0
AD-202600113,Affordable life insurance policies for families. Get a free quote today.,499,0,0
AD-202600114,"Standard household kitchen blender. 3 speeds, stainless steel blades.",164,1,0
AD-202600115,Earn standard rewards points back on everyday grocery purchases with our card.,497,0,0
AD-202600116,Earn standard rewards points back on everyday grocery purchases with our card.,15,1,0
AD-202600117,"Standard household kitchen blender. 3 speeds, stainless steel blades.",126,1,0
AD-202600118,"Standard household kitchen blender. 3 speeds, stainless steel blades.",40,0,0
AD-202600119,"Standard household kitchen blender. 3 speeds, stainless steel blades.",712,1,0
AD-202600120,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,361,1,102
AD-202600121,Click here to see a shocking viral video! WARNING: explicit details inside.,680,4,103
AD-202600122,"Standard household kitchen blender. 3 speeds, stainless steel blades.",194,1,0
AD-202600123,Affordable life insurance policies for families. Get a free quote today.,657,0,0
AD-202600124,Earn standard rewards points back on everyday grocery purchases with our card.,173,1,0
AD-202600125,Earn standard rewards points back on everyday grocery purchases with our card.,666,1,0
AD-202600126,Affordable life insurance policies for families. Get a free quote today.,223,0,0
AD-202600127,Affordable life insurance policies for families. Get a free quote today.,525,1,0
AD-202600128,Get rich quick! Earn $5000/day from home with zero risk. Register now!,466,1,101
AD-202600129,Earn standard rewards points back on everyday grocery purchases with our card.,583,0,0
AD-202600130,"Standard household kitchen blender. 3 speeds, stainless steel blades.",630,1,0
AD-202600131,Earn standard rewards points back on everyday grocery purchases with our card.,345,1,0
AD-202600132,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,412,0,102
AD-202600133,Affordable life insurance policies for families. Get a free quote today.,71,0,0
AD-202600134,Get rich quick! Earn $5000/day from home with zero risk. Register now!,226,5,101
AD-202600135,Affordable life insurance policies for families. Get a free quote today.,322,0,0
AD-202600136,"Standard household kitchen blender. 3 speeds, stainless steel blades.",210,1,0
AD-202600137,Affordable life insurance policies for families. Get a free quote today.,645,1,0
AD-202600138,Get rich quick! Earn $5000/day from home with zero risk. Register now!,265,0,101
AD-202600139,Affordable life insurance policies for families. Get a free quote today.,86,1,0
AD-202600140,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,365,3,102
